更新时间,#genre#
CCTV2,http://27.19.48.39:4022/rtp/239.69.1.102:10250$IPV4『线路46』
CCTV2,http://121.63.2.11:18000/rtp/239.69.1.102:10250$IPV4『线路47』
CCTV2,http://42.237.178.219:4000/rtp/225.1.4.74:1103$IPV4『线路48』
CCTV2,http://222.138.212.223:9999/rtp/225.1.4.74:1103$IPV4『线路49』
CCTV2,http://222.142.118.102:4000/rtp/225.1.4.74:1103$IPV4『线路50』
CCTV2,http://222.131.15.137:4000/rtp/239.3.1.60:8084$IPV4『线路51』
CCTV2,http://114.246.181.171:4022/rtp/239.3.1.60:8084$IPV4『线路52』
CCTV2,http://114.254.38.103:8887/rtp/239.3.1.60:8084$IPV4『线路53』
CCTV2,http://113.220.232.38:9999/tsfile/live/0018_1.m3u8$IPV4『线路54』
CCTV2,http://111.225.93.108:33333/hls/3/index.m3u8$IPV4『线路55』
CCTV2,http://111.225.93.108:33333/hls/4/index.m3u8$IPV4『线路56』
CCTV2,http://116.233.34.25:7777/tsfile/live/0002_1.m3u8$IPV4『线路57』
CCTV2,http://60.189.61.9:9999/udp/233.50.200.25:5140$IPV4『线路58』
CCTV2,http://60.189.61.9:9999/udp/233.50.200.25:5140$IPV4『线路59』
CCTV2,http://60.189.61.9:9999/udp/233.50.201.119:5140$IPV4『线路60』
CCTV2,http://60.189.61.9:9999/udp/233.50.201.119:5140$IPV4『线路61』
CCTV2,http://120.0.52.126:4022/rtp/239.253.92.190:6065$IPV4『线路62』
CCTV2,http://27.10.134.196:8003/udp/225.0.4.132:7980$IPV4『线路63』
CCTV2,http://27.10.134.196:8001/udp/225.0.4.132:7980$IPV4『线路64』
CCTV2,http://60.220.167.216:8085/rtp/226.0.2.154:9144$IPV4『线路65』
CCTV2,http://60.220.167.216:8084/rtp/226.0.2.154:9144$IPV4『线路66』
CCTV2,http://60.220.167.216:8082/rtp/226.0.2.154:9144$IPV4『线路67』
CCTV2,http://60.223.72.133:8002/rtp/226.0.2.154:9144$IPV4『线路68』
CCTV2,http://60.223.72.133:8004/rtp/226.0.2.154:9144$IPV4『线路69』
CCTV2,http://119.98.71.95:8888/rtp/239.69.1.102:10250$IPV4『线路70』
CCTV2,http://171.110.43.10:8181/tsfile/live/0002_1.m3u8$IPV4『线路71』
CCTV2,http://222.76.2.158:4022/rtp/239.61.2.174:9032$IPV4『线路72』
CCTV2,http://221.206.43.102:4022/udp/229.58.190.153:5000$IPV4『线路73』
CCTV2,http://27.11.53.45:8008/udp/225.0.4.132:7980$IPV4『线路74』
CCTV2,http://27.11.53.45:8010/udp/225.0.4.132:7980$IPV4『线路75』
CCTV2,http://27.11.53.45:8009/udp/225.0.4.132:7980$IPV4『线路76』
CCTV2,http://106.116.2.41:8890/rtp/239.254.200.158:6000$IPV4『线路77』
CCTV2,http://113.251.228.172:7788/rtp/235.254.198.52:1484$IPV4『线路78』
CCTV2,http://123.113.237.36:8012/rtp/239.3.1.60:8084$IPV4『线路79』
CCTV2,http://171.110.43.60:8181/tsfile/live/0002_1.m3u8$IPV4『线路80』
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$IPV6『线路1』
CCTV3,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010212/main.m3u8$IPV6『线路2』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$IPV6『线路3』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$IPV6『线路4』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/$IPV6『线路5』
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路6』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$IPV6『线路7』
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路8』
CCTV3,http://[2409:8087:2801:22:100::3e]/wh7f454c46tw3152345576_-602673138/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236244/index.m3u8?icpid=88888888&RTS=1717809682&from=5&ocs=2_2409:8087:2801:22:100::41_80&hms_devid=1641&online=1717809682&vqe=3$IPV6『线路9』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$IPV6『线路10』
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路11』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$IPV6『线路12』
CCTV3,http://[2409:8087:2801:22:100::3e]/wh7f454c46tw3152345576_-602673138/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236244/index.m3u8?icpid=88888888&RTS=1717809682&from=5&ocs=2_2409:8087:2801:22:100::41_80&hms_devid=1641&online=1717809682&vqe=3$IPV6『线路13』
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk$IPV6『线路14』
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8$IPV6『线路15』
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/PLTV/1/224/3221230909/1.m3u8$IPV6『线路16』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8?$IPV6『线路17』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8?$IPV6『线路18』
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$IPV6『线路19』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$IPV6『线路20』
CCTV3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路21』
CCTV3,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000382/index.m3u8$IPV6『线路22』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8$IPV6『线路23』
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路24』
